sampleNumber,distToGoal,minDistToGoal,worstCost,temp,maxTemp
38,5.49029,3.23901,0.0333693,0.00390184,10000
39,5.49029,3.23901,0.0333693,0.00390184,10000
40,5.63623,3.23901,0.0333693,0.00390184,10000
41,5.63623,3.23901,0.0333693,0.00390184,10000
42,4.21008,3.23901,0.0333693,0.00390184,10000
43,4.21008,3.23901,0.0333693,0.00390184,10000
44,4.21008,3.23901,0.0333693,0.00390184,10000
45,4.70476,3.23901,0.0333693,0.00390184,10000
46,4.70476,3.23901,0.0333693,0.00390184,10000
47,4.70476,3.23901,0.0333693,0.00390184,10000
48,4.70476,2.99878,0.0333693,0.00260123,10000
49,4.70476,2.99878,0.0333693,0.00260123,10000
50,4.70476,2.49878,0.0333693,0.00173415,10000
51,4.70476,2.49878,0.0333693,0.00173415,10000
52,4.70476,2.49878,0.0333693,0.00173415,10000
53,1.99878,2.49878,0.0333693,0.00173415,10000
54,1.99878,2.49878,0.0333693,0.00173415,10000
55,1.99878,2.49878,0.0333693,0.00173415,10000
56,6.19072,2.49878,0.0333693,0.00173415,10000
57,6.19072,2.49878,0.0333693,0.00173415,10000
58,6.19072,2.49878,0.0333693,0.00173415,10000
59,6.19072,2.49878,0.0333693,0.00173415,10000
60,6.19072,2.49878,0.0333693,0.00173415,10000
61,6.19072,2.49878,0.0333693,0.00173415,10000
62,6.19072,2.49878,0.0333693,0.00173415,10000
63,6.19072,2.49878,0.0333693,0.00173415,10000
64,6.19072,2.49878,0.0333693,0.0011561,10000
65,2.64288,2.49878,0.0333693,0.0011561,10000
66,2.64288,2.49878,0.0333693,0.0011561,10000
67,2.64288,2.49878,0.0333693,0.0011561,10000
68,2.64288,2.49878,0.0333693,0.0011561,10000
69,2.64288,2.49878,0.0333693,0.0011561,10000
70,2.64288,2.49878,0.0333693,0.0011561,10000
71,2.64288,2.49878,0.0333693,0.0011561,10000
72,2.64288,2.49878,0.0333693,0.0011561,10000
73,2.64288,2.49878,0.0333693,0.0011561,10000
74,2.10582,2.49878,0.0333693,0.0011561,10000
75,2.10582,2.49878,0.0333693,0.0011561,10000
76,2.10582,2.49878,0.0333693,0.0011561,10000
77,2.10582,2.49878,0.0333693,0.0011561,10000
78,2.10582,2.49878,0.0333693,0.0011561,10000
79,2.10582,2.49878,0.0333693,0.0011561,10000
80,2.10582,2.49878,0.0333693,0.0011561,10000
81,2.10582,2.49878,0.0333693,0.0011561,10000
82,2.10582,2.49878,0.0333693,0.0011561,10000
83,2.10582,2.49878,0.0333693,0.0011561,10000
84,2.10582,2.49878,0.0333693,0.0011561,10000
85,6.26459,2.49878,0.0333693,0.0011561,10000
86,6.26459,2.49878,0.0333693,0.0011561,10000
87,6.26459,2.49878,0.0333693,0.0011561,10000
88,6.26459,2.49878,0.0333693,0.0011561,10000
89,6.26459,2.49878,0.0333693,0.0011561,10000
90,6.26459,2.49878,0.0333693,0.0011561,10000
91,6.26459,2.49878,0.0333693,0.0011561,10000
92,6.26459,2.49878,0.0333693,0.0011561,10000
93,2.25158,2.49878,0.0333693,0.0011561,10000
94,2.25158,2.49878,0.0333693,0.0011561,10000
95,2.25158,2.49878,0.0333693,0.0011561,10000
96,2.25158,2.49878,0.0333693,0.0011561,10000
97,2.25158,2.49878,0.0333693,0.0011561,10000
98,2.25158,2.49878,0.0333693,0.0011561,10000
99,2.25158,2.49878,0.0333693,0.0011561,10000
100,2.25158,2.49878,0.0333693,0.0011561,10000
101,2.25158,2.49878,0.0333693,0.0011561,10000
102,2.24059,2.49878,0.0333693,0.0011561,10000
103,2.24059,2.49878,0.0333693,0.0011561,10000
104,2.24059,2.49878,0.0333693,0.0011561,10000
105,5.6939,2.49878,0.0333693,0.0011561,10000
106,5.6939,2.49878,0.0333693,0.0011561,10000
107,5.6939,2.49878,0.0333693,0.0011561,10000
108,5.6939,2.49878,0.0333693,0.0011561,10000
109,5.6939,2.49878,0.0333693,0.0011561,10000
110,5.6939,2.49878,0.0333693,0.0011561,10000
111,6.498,2.49878,0.0333693,0.0011561,10000
112,6.498,2.49878,0.0333693,0.0011561,10000
113,6.498,2.49878,0.0333693,0.0011561,10000
114,5.36472,2.49878,0.0333693,0.0011561,10000
115,5.29187,2.49878,0.0333693,0.0011561,10000
116,5.29187,2.49878,0.0333693,0.0011561,10000
117,5.29187,2.49878,0.0333693,0.0011561,10000
118,5.29187,2.49878,0.0333693,0.0011561,10000
119,5.29187,2.49878,0.0333693,0.0011561,10000
