sampleNumber,distToGoal,minDistToGoal,worstCost,temp,maxTemp
373,0.56437,1.06437,0.086938,0.1,0.1
374,2.64189,1.06437,0.086938,0.1,0.1
375,2.64189,1.06437,0.086938,0.1,0.1
377,0.56437,1.06437,0.086938,0.1,0.1
378,0.56437,1.06437,0.086938,0.1,0.1
379,0.56437,1.06437,0.086938,0.1,0.1
380,0.56437,1.06437,0.086938,0.1,0.1
381,0.56437,1.06437,0.086938,0.1,0.1
382,0.56437,1.06437,0.086938,0.1,0.1
383,0.56437,1.06437,0.086938,0.1,0.1
384,0.56437,1.06437,0.086938,0.1,0.1
385,0.56437,1.06437,0.086938,0.1,0.1
386,0.56437,1.06437,0.086938,0.1,0.1
387,0.56437,1.06437,0.086938,0.1,0.1
388,0.56437,1.06437,0.086938,0.1,0.1
389,0.56437,1.06437,0.086938,0.1,0.1
390,0.56437,1.06437,0.086938,0.1,0.1
391,0.56437,1.06437,0.086938,0.1,0.1
392,0.56437,1.06437,0.086938,0.1,0.1
393,4.1526,1.06437,0.086938,0.1,0.1
394,4.1526,1.06437,0.086938,0.1,0.1
395,4.1526,1.06437,0.086938,0.1,0.1
396,4.1526,1.06437,0.086938,0.1,0.1
397,1.08447,1.06437,0.086938,0.1,0.1
398,6.93995,1.06437,0.086938,0.1,0.1
399,8.36927,1.06437,0.086938,0.1,0.1
400,8.36927,1.06437,0.086938,0.1,0.1
401,8.36927,1.06437,0.086938,0.1,0.1
402,8.36927,1.06437,0.086938,0.1,0.1
403,8.36927,1.06437,0.086938,0.1,0.1
404,8.36927,1.06437,0.086938,0.1,0.1
405,8.36927,1.06437,0.086938,0.1,0.1
406,8.36927,1.06437,0.086938,0.1,0.1
407,8.36927,1.06437,0.086938,0.1,0.1
408,8.36927,1.06437,0.086938,0.1,0.1
409,8.36927,1.06437,0.086938,0.1,0.1
410,8.38503,1.06437,0.086938,0.1,0.1
411,8.38503,1.06437,0.086938,0.1,0.1
412,8.38503,1.06437,0.086938,0.1,0.1
413,8.38503,1.06437,0.086938,0.1,0.1
414,8.38503,1.06437,0.086938,0.1,0.1
415,8.38503,1.06437,0.086938,0.1,0.1
416,8.38503,1.06437,0.086938,0.1,0.1
417,8.38503,1.06437,0.086938,0.1,0.1
418,8.38503,1.06437,0.086938,0.1,0.1
419,8.38503,1.06437,0.086938,0.1,0.1
420,8.38503,1.06437,0.086938,0.1,0.1
421,8.38503,1.06437,0.086938,0.1,0.1
422,8.38503,1.06437,0.086938,0.1,0.1
423,8.38503,1.06437,0.086938,0.1,0.1
424,8.38503,1.06437,0.086938,0.1,0.1
425,8.38503,1.06437,0.086938,0.1,0.1
426,8.38503,1.06437,0.086938,0.1,0.1
427,8.38503,1.06437,0.086938,0.1,0.1
428,8.38503,1.06437,0.086938,0.1,0.1
429,0.853884,1.06437,0.086938,0.1,0.1
430,0.853884,1.06437,0.086938,0.1,0.1
431,0.853884,1.06437,0.086938,0.1,0.1
432,0.853884,1.06437,0.086938,0.1,0.1
433,0.853884,1.06437,0.086938,0.1,0.1
434,0.853884,1.06437,0.086938,0.1,0.1
435,0.853884,1.06437,0.086938,0.1,0.1
436,0.853884,1.06437,0.086938,0.1,0.1
437,0.853884,1.06437,0.086938,0.1,0.1
438,0.853884,1.06437,0.086938,0.1,0.1
439,0.853884,1.06437,0.086938,0.1,0.1
440,0.853884,1.06437,0.086938,0.1,0.1
441,0.853884,1.06437,0.086938,0.1,0.1
443,8.35614,1.06437,0.086938,0.1,0.1
444,8.35614,1.06437,0.086938,0.1,0.1
445,8.35614,1.06437,0.086938,0.1,0.1
446,8.35614,1.06437,0.086938,0.1,0.1
447,2.7876,1.06437,0.086938,0.1,0.1
448,2.7876,1.06437,0.086938,0.1,0.1
449,2.7876,1.06437,0.086938,0.1,0.1
450,2.7876,1.06437,0.086938,0.1,0.1
451,6.96891,1.06437,0.086938,0.1,0.1
452,6.96891,1.06437,0.086938,0.1,0.1
453,6.96891,1.06437,0.086938,0.1,0.1
454,6.96891,1.06437,0.086938,0.1,0.1
455,1.08557,1.06437,0.086938,0.1,0.1
456,1.08557,1.06437,0.086938,0.1,0.1
457,1.08557,1.06437,0.086938,0.1,0.1
458,1.08557,1.06437,0.086938,0.1,0.1
459,6.50945,1.06437,0.086938,0.1,0.1
460,6.50945,1.06437,0.086938,0.1,0.1
461,6.50945,1.06437,0.086938,0.1,0.1
462,6.50945,1.06437,0.086938,0.1,0.1
463,6.50945,1.06437,0.086938,0.1,0.1
464,6.50945,1.06437,0.086938,0.1,0.1
